Gene.stable.ID	Protein.stable.ID	Transcript.stable.ID	Gene.name	depth
ENSG00000104368	ENSP00000220809	ENST00000220809	PLAT	210
ENSG00000104369	ENSP00000344488	ENST00000342232	JPH1	281
ENSG00000104371	ENSP00000220812	ENST00000220812	DKK4	108
ENSG00000104375	ENSP00000390500	ENST00000419617	STK3	289
ENSG00000104381	ENSP00000220822	ENST00000220822	GDAP1	200
ENSG00000104388	ENSP00000262646	ENST00000262646	RAB2A	364
ENSG00000104408	ENSP00000220849	ENST00000220849	EIF3E	302
ENSG00000104412	ENSP00000220853	ENST00000220853	EMC2	220
ENSG00000104413	ENSP00000405738	ENST00000433389	ESRP1	197
ENSG00000104415	ENSP00000250160	ENST00000250160	CCN4	233
ENSG00000104419	ENSP00000319977	ENST00000323851	NDRG1	988
ENSG00000104427	ENSP00000263849	ENST00000263849	ZC2HC1A	201
ENSG00000104432	ENSP00000263851	ENST00000263851	IL7	108
ENSG00000104435	ENSP00000220876	ENST00000220876	STMN2	1151
ENSG00000104442	ENSP00000276569	ENST00000276569	ARMC1	261
ENSG00000104447	ENSP00000379065	ENST00000395715	TRPS1	204
ENSG00000104450	ENSP00000373450	ENST00000388798	SPAG1	392
ENSG00000104472	ENSP00000220913	ENST00000220913	CHRAC1	117
ENSG00000104490	ENSP00000220931	ENST00000220931	NCALD	215
ENSG00000104497	ENSP00000322652	ENST00000345957	SNX16	236
ENSG00000104499	ENSP00000220940	ENST00000220940	GML	122
ENSG00000104517	ENSP00000429084	ENST00000520539	UBR5	216
ENSG00000104518	ENSP00000262580	ENST00000262580	GSDMD	590
ENSG00000104522	ENSP00000398803	ENST00000425753	GFUS	272
ENSG00000104524	ENSP00000480945	ENST00000495276	PYCR3	713
ENSG00000104529	ENSP00000484536	ENST00000618139	EEF1D	715
ENSG00000104537	ENSP00000390809	ENST00000419625	ANXA13	129
ENSG00000104549	ENSP00000265896	ENST00000265896	SQLE	216
ENSG00000104611	ENSP00000265807	ENST00000265807	SH2D4A	256
ENSG00000104613	ENSP00000381064	ENST00000397977	INTS10	200
ENSG00000104626	ENSP00000250263	ENST00000250263	ERI1	551
ENSG00000104635	ENSP00000370635	ENST00000381237	SLC39A14	203
ENSG00000104643	ENSP00000221086	ENST00000221086	MTMR9	206
ENSG00000104660	ENSP00000314625	ENST00000321250	LEPROTL1	418
ENSG00000104671	ENSP00000221114	ENST00000221114	DCTN6	276
ENSG00000104679	ENSP00000265806	ENST00000265806	R3HCC1	383
ENSG00000104687	ENSP00000221130	ENST00000221130	GSR	204
ENSG00000104689	ENSP00000221132	ENST00000221132	TNFRSF10A	73
ENSG00000104691	ENSP00000479216	ENST00000265616	UBXN8	118
ENSG00000104695	ENSP00000221138	ENST00000221138	PPP2CB	527
ENSG00000104714	ENSP00000262109	ENST00000262109	ERICH1	173
ENSG00000104722	ENSP00000221166	ENST00000221166	NEFM	358
ENSG00000104723	ENSP00000424544	ENST00000503731	TUSC3	435
ENSG00000104728	ENSP00000340297	ENST00000349830	ARHGEF10	664
ENSG00000104731	ENSP00000270583	ENST00000270583	KLHDC4	199
ENSG00000104738	ENSP00000496964	ENST00000649973	MCM4	974
ENSG00000104755	ENSP00000265708	ENST00000265708	ADAM2	92
ENSG00000104756	ENSP00000221200	ENST00000221200	KCTD9	305
ENSG00000104760	ENSP00000401952	ENST00000427924	FGL1	124
ENSG00000104763	ENSP00000490272	ENST00000637790	ASAH1	424
ENSG00000104765	ENSP00000370003	ENST00000380629	BNIP3L	612
ENSG00000104774	ENSP00000395473	ENST00000456935	MAN2B1	8
ENSG00000104783	ENSP00000496939	ENST00000648319	KCNN4	925
ENSG00000104804	ENSP00000221399	ENST00000221399	TULP2	103
ENSG00000104805	ENSP00000385923	ENST00000405315	NUCB1	464
ENSG00000104808	ENSP00000221403	ENST00000221403	DHDH	289
ENSG00000104812	ENSP00000317904	ENST00000323798	GYS1	400
ENSG00000104814	ENSP00000380066	ENST00000396857	MAP4K1	201
ENSG00000104818	ENSP00000352295	ENST00000359342	CGB2	52
ENSG00000104823	ENSP00000221418	ENST00000221418	ECH1	11
ENSG00000104824	ENSP00000221419	ENST00000221419	HNRNPL	11
ENSG00000104825	ENSP00000312988	ENST00000313582	NFKBIB	6
ENSG00000104826	ENSP00000497294	ENST00000649238	LHB	52
ENSG00000104827	ENSP00000349954	ENST00000357383	CGB3	52
ENSG00000104833	ENSP00000264071	ENST00000264071	TUBB4A	94
ENSG00000104835	ENSP00000221431	ENST00000221431	SARS2	10
ENSG00000104848	ENSP00000221444	ENST00000221444	KCNA7	86
ENSG00000104852	ENSP00000472998	ENST00000598441	SNRNP70	164
ENSG00000104853	ENSP00000336994	ENST00000337392	CLPTM1	463
ENSG00000104856	ENSP00000221452	ENST00000221452	RELB	194
ENSG00000104859	ENSP00000221455	ENST00000221455	CLASRP	398
ENSG00000104863	ENSP00000221459	ENST00000221459	LIN7B	825
ENSG00000104866	ENSP00000221462	ENST00000221462	PPP1R37	241
ENSG00000104870	ENSP00000221466	ENST00000221466	FCGRT	7
ENSG00000104872	ENSP00000262265	ENST00000262265	PIH1D1	173
ENSG00000104879	ENSP00000221476	ENST00000221476	CKM	1128
ENSG00000104880	ENSP00000499655	ENST00000668164	ARHGEF18	264
ENSG00000104881	ENSP00000354218	ENST00000360957	PPP1R13L	173
ENSG00000104883	ENSP00000221480	ENST00000221480	PEX11G	185
ENSG00000104884	ENSP00000375809	ENST00000391945	ERCC2	808
ENSG00000104885	ENSP00000381657	ENST00000398665	DOT1L	206
ENSG00000104886	ENSP00000318075	ENST00000326631	PLEKHJ1	177
ENSG00000104888	ENSP00000221485	ENST00000221485	SLC17A7	249
ENSG00000104889	ENSP00000221486	ENST00000221486	RNASEH2A	187
ENSG00000104892	ENSP00000375810	ENST00000391946	KLC3	88
ENSG00000104894	ENSP00000325708	ENST00000323906	CD37	131
ENSG00000104897	ENSP00000221494	ENST00000221494	SF3A2	201
ENSG00000104899	ENSP00000221496	ENST00000221496	AMH	166
ENSG00000104901	ENSP00000221498	ENST00000221498	DKKL1	93
ENSG00000104903	ENSP00000264824	ENST00000264824	LYL1	93
ENSG00000104904	ENSP00000473381	ENST00000602676	OAZ1	198
ENSG00000104907	ENSP00000350352	ENST00000357720	TRMT1	402
ENSG00000104915	ENSP00000466298	ENST00000587230	STX10	86
ENSG00000104918	ENSP00000221515	ENST00000221515	RETN	191
ENSG00000104921	ENSP00000471974	ENST00000597921	FCER2	80
ENSG00000104936	ENSP00000291270	ENST00000291270	DMPK	101
ENSG00000104938	ENSP00000316228	ENST00000327325	CLEC4M	7
ENSG00000104941	ENSP00000221538	ENST00000221538	RSPH6A	310
ENSG00000104946	ENSP00000221543	ENST00000221543	TBC1D17	191
ENSG00000104951	ENSP00000375702	ENST00000391826	IL4I1	89
ENSG00000104953	ENSP00000246112	ENST00000246112	TLE6	1439
ENSG00000104957	ENSP00000221554	ENST00000221554	CCDC130	400
ENSG00000104960	ENSP00000375717	ENST00000391842	PTOV1	83
ENSG00000104964	ENSP00000317537	ENST00000327141	TLE5	1439
ENSG00000104967	ENSP00000263257	ENST00000263257	NOVA2	120
ENSG00000104969	ENSP00000221566	ENST00000221566	SGTA	201
ENSG00000104972	ENSP00000315997	ENST00000324602	LILRB1	971
ENSG00000104973	ENSP00000326767	ENST00000312865	MED25	191
ENSG00000104974	ENSP00000251372	ENST00000251372	LILRA1	971
ENSG00000104976	ENSP00000221573	ENST00000221573	SNAPC2	168
ENSG00000104979	ENSP00000465432	ENST00000588234	C19orf53	183
ENSG00000104980	ENSP00000270538	ENST00000270538	TIMM44	269
ENSG00000104983	ENSP00000471454	ENST00000595358	CCDC61	355
ENSG00000104998	ENSP00000263379	ENST00000263379	IL27RA	90
ENSG00000105011	ENSP00000263382	ENST00000263382	ASF1B	412
ENSG00000105048	ENSP00000467176	ENST00000588981	TNNT1	241
ENSG00000105053	ENSP00000324636	ENST00000316763	VRK3	206
ENSG00000105058	ENSP00000263384	ENST00000263384	FAM32A	244
ENSG00000105063	ENSP00000414202	ENST00000412770	PPP6R1	605
ENSG00000105072	ENSP00000221671	ENST00000221671	C19orf44	177
ENSG00000105085	ENSP00000263390	ENST00000263390	MED26	267
ENSG00000105088	ENSP00000264833	ENST00000264833	OLFM2	248
ENSG00000105122	ENSP00000341905	ENST00000343625	RASAL3	108
ENSG00000105127	ENSP00000269701	ENST00000269701	AKAP8	464
ENSG00000105131	ENSP00000221730	ENST00000221730	EPHX3	89
ENSG00000105135	ENSP00000263383	ENST00000263383	ILVBL	198
ENSG00000105136	ENSP00000221735	ENST00000221735	ZNF419	24
ENSG00000105137	ENSP00000341489	ENST00000342784	SYDE1	1074
ENSG00000105141	ENSP00000393417	ENST00000427043	CASP14	90
ENSG00000105143	ENSP00000472133	ENST00000594383	SLC1A6	195
ENSG00000105146	ENSP00000302898	ENST00000302804	AURKC	97
ENSG00000105171	ENSP00000465213	ENST00000585603	POP4	209
ENSG00000105173	ENSP00000262643	ENST00000262643	CCNE1	212
ENSG00000105176	ENSP00000376097	ENST00000392271	URI1	212
ENSG00000105185	ENSP00000466214	ENST00000590247	PDCD5	253
ENSG00000105186	ENSP00000304292	ENST00000306065	ANKRD27	211
ENSG00000105193	ENSP00000251453	ENST00000251453	RPS16	310
ENSG00000105197	ENSP00000475531	ENST00000607714	TIMM50	566
ENSG00000105198	ENSP00000221797	ENST00000221797	LGALS13	48
ENSG00000105202	ENSP00000221801	ENST00000221801	FBL	264
ENSG00000105204	ENSP00000312789	ENST00000323039	DYRK1B	184
ENSG00000105205	ENSP00000221804	ENST00000221804	CLC	63
ENSG00000105219	ENSP00000396755	ENST00000430325	CCNP	123
ENSG00000105220	ENSP00000348877	ENST00000356487	GPI	288
ENSG00000105221	ENSP00000375892	ENST00000392038	AKT2	260
ENSG00000105223	ENSP00000386938	ENST00000409735	PLD3	745
ENSG00000105227	ENSP00000326018	ENST00000324001	PRX	161
ENSG00000105229	ENSP00000262971	ENST00000262971	PIAS4	1372
ENSG00000105245	ENSP00000252891	ENST00000252891	NUMBL	183
ENSG00000105246	ENSP00000221847	ENST00000221847	EBI3	191
ENSG00000105248	ENSP00000262962	ENST00000262962	YJU2	400
ENSG00000105251	ENSP00000446058	ENST00000543264	SHD	272
ENSG00000105254	ENSP00000221855	ENST00000221855	TBCB	199
ENSG00000105255	ENSP00000221856	ENST00000221856	FSD1	196
ENSG00000105258	ENSP00000221859	ENST00000221859	POLR2I	197
ENSG00000105261	ENSP00000487603	ENST00000633214	OVOL3	80
ENSG00000105270	ENSP00000353732	ENST00000360535	CLIP3	183
ENSG00000105278	ENSP00000262961	ENST00000262961	ZFR2	181
ENSG00000105281	ENSP00000444408	ENST00000542575	SLC1A5	192
ENSG00000105287	ENSP00000291281	ENST00000291281	PRKD2	755
ENSG00000105289	ENSP00000439278	ENST00000541714	TJP3	195
ENSG00000105290	ENSP00000221891	ENST00000221891	APLP1	677
ENSG00000105298	ENSP00000415078	ENST00000429344	CACTIN	649
ENSG00000105321	ENSP00000221922	ENST00000221922	CCDC9	355
ENSG00000105323	ENSP00000375863	ENST00000392006	HNRNPUL1	221
ENSG00000105325	ENSP00000410369	ENST00000441788	FZR1	675
ENSG00000105327	ENSP00000395862	ENST00000439096	BBC3	57
ENSG00000105329	ENSP00000221930	ENST00000221930	TGFB1	217
ENSG00000105339	ENSP00000428714	ENST00000519811	DENND3	289
ENSG00000105341	ENSP00000221943	ENST00000221943	DMAC2	173
ENSG00000105352	ENSP00000221954	ENST00000221954	CEACAM4	877
ENSG00000105355	ENSP00000221957	ENST00000221957	PLIN3	953
ENSG00000105357	ENSP00000493594	ENST00000642316	MYH14	196
ENSG00000105364	ENSP00000253099	ENST00000253099	MRPL4	195
ENSG00000105366	ENSP00000321077	ENST00000321424	SIGLEC8	792
ENSG00000105369	ENSP00000221972	ENST00000221972	CD79A	304
ENSG00000105370	ENSP00000472090	ENST00000596399	LIM2	665
ENSG00000105371	ENSP00000370147	ENST00000380770	ICAM4	84
ENSG00000105372	ENSP00000470972	ENST00000598742	RPS19	351
ENSG00000105373	ENSP00000246802	ENST00000246802	NOP53	192
ENSG00000105374	ENSP00000221978	ENST00000221978	NKG7	665
ENSG00000105376	ENSP00000221980	ENST00000221980	ICAM5	89
ENSG00000105379	ENSP00000311930	ENST00000309244	ETFB	195
ENSG00000105383	ENSP00000262262	ENST00000262262	CD33	792
ENSG00000105388	ENSP00000221992	ENST00000221992	CEACAM5	877
ENSG00000105392	ENSP00000221996	ENST00000221996	CRX	122
ENSG00000105393	ENSP00000471605	ENST00000598188	BABAM1	184
ENSG00000105397	ENSP00000431885	ENST00000525621	TYK2	197
ENSG00000105398	ENSP00000222002	ENST00000222002	SULT2A1	192
ENSG00000105401	ENSP00000222005	ENST00000222005	CDC37	454
ENSG00000105402	ENSP00000263354	ENST00000263354	NAPA	746
ENSG00000105404	ENSP00000222008	ENST00000222008	RABAC1	187
ENSG00000105409	ENSP00000498113	ENST00000648268	ATP1A3	133
ENSG00000105419	ENSP00000454073	ENST00000558555	MEIS3	182
ENSG00000105426	ENSP00000467537	ENST00000587303	PTPRS	557
ENSG00000105427	ENSP00000222032	ENST00000222032	CNFN	186
ENSG00000105428	ENSP00000222033	ENST00000222033	ZNRF4	175
ENSG00000105429	ENSP00000251268	ENST00000251268	MEGF8	181
ENSG00000105438	ENSP00000329471	ENST00000330720	KDELR1	600
ENSG00000105443	ENSP00000408236	ENST00000452733	CYTH2	190
ENSG00000105447	ENSP00000253237	ENST00000253237	GRWD1	179
ENSG00000105464	ENSP00000263269	ENST00000263269	GRIN2D	238
ENSG00000105467	ENSP00000344041	ENST00000344846	SYNGR4	881
ENSG00000105472	ENSP00000250340	ENST00000250340	CLEC11A	623
ENSG00000105479	ENSP00000501363	ENST00000674294	ODAD1	588
ENSG00000105483	ENSP00000499211	ENST00000651546	CARD8	97
ENSG00000105486	ENSP00000263274	ENST00000263274	LIG1	181
ENSG00000105492	ENSP00000401502	ENST00000425629	SIGLEC6	792
ENSG00000105497	ENSP00000262259	ENST00000262259	ZNF175	68
ENSG00000105499	ENSP00000469473	ENST00000599921	PLA2G4C	1138
ENSG00000105501	ENSP00000473238	ENST00000534261	SIGLEC5	792
ENSG00000105507	ENSP00000293255	ENST00000293255	CABP5	218
ENSG00000105509	ENSP00000445021	ENST00000540069	HAS1	611
ENSG00000105514	ENSP00000222120	ENST00000222120	RAB3D	269
ENSG00000105516	ENSP00000222122	ENST00000222122	DBP	98
ENSG00000105518	ENSP00000346954	ENST00000354882	TMEM205	243
ENSG00000105519	ENSP00000465883	ENST00000588776	CAPS	84
ENSG00000105520	ENSP00000251473	ENST00000251473	PLPPR2	257
ENSG00000105523	ENSP00000263266	ENST00000263266	FAM83E	107
ENSG00000105538	ENSP00000222145	ENST00000222145	RASIP1	188
ENSG00000105549	ENSP00000340088	ENST00000342640	THEG	199
ENSG00000105550	ENSP00000471477	ENST00000593756	FGF21	103
ENSG00000105552	ENSP00000322991	ENST00000316273	BCAT2	387
ENSG00000105556	ENSP00000264819	ENST00000264819	MIER2	1252
ENSG00000105559	ENSP00000263265	ENST00000263265	PLEKHA4	164
ENSG00000105568	ENSP00000324804	ENST00000322088	PPP2R1A	695
ENSG00000105576	ENSP00000407182	ENST00000425528	TNPO2	6
ENSG00000105583	ENSP00000468969	ENST00000596731	WDR83OS	13
ENSG00000105605	ENSP00000375647	ENST00000391767	CACNG7	1009
ENSG00000105607	ENSP00000222214	ENST00000222214	GCDH	250
ENSG00000105609	ENSP00000406478	ENST00000449561	LILRB5	20
ENSG00000105610	ENSP00000264834	ENST00000264834	KLF1	99
ENSG00000105612	ENSP00000222219	ENST00000222219	DNASE2	470
ENSG00000105613	ENSP00000251472	ENST00000251472	MAST1	284
ENSG00000105617	ENSP00000222224	ENST00000222224	LENG1	178
ENSG00000105618	ENSP00000324122	ENST00000321030	PRPF31	196
ENSG00000105619	ENSP00000375639	ENST00000391759	TFPT	109
ENSG00000105639	ENSP00000391676	ENST00000458235	JAK3	101
ENSG00000105640	ENSP00000222247	ENST00000222247	RPL18A	377
ENSG00000105641	ENSP00000222248	ENST00000222248	SLC5A5	196
ENSG00000105642	ENSP00000507021	ENST00000684775	KCNN1	925
ENSG00000105643	ENSP00000222250	ENST00000222250	ARRDC2	198
ENSG00000105647	ENSP00000222254	ENST00000222254	PIK3R2	250
ENSG00000105649	ENSP00000222256	ENST00000222256	RAB3A	273
ENSG00000105650	ENSP00000262805	ENST00000262805	PDE4C	90
ENSG00000105655	ENSP00000337746	ENST00000338128	ISYNA1	205
ENSG00000105656	ENSP00000262809	ENST00000262809	ELL	257
ENSG00000105662	ENSP00000323332	ENST00000321949	CRTC1	725
ENSG00000105664	ENSP00000222271	ENST00000222271	COMP	89
ENSG00000105668	ENSP00000483176	ENST00000617999	UPK1A	143
ENSG00000105669	ENSP00000262812	ENST00000262812	COPE	206
ENSG00000105671	ENSP00000247003	ENST00000247003	DDX49	198
ENSG00000105672	ENSP00000384524	ENST00000402764	ETV2	85
ENSG00000105675	ENSP00000262623	ENST00000262623	ATP4A	166
ENSG00000105676	ENSP00000444156	ENST00000535612	ARMC6	200
ENSG00000105677	ENSP00000222284	ENST00000222284	TMEM147	199
ENSG00000105679	ENSP00000222286	ENST00000222286	GAPDHS	191
ENSG00000105695	ENSP00000376048	ENST00000392213	MAG	707
ENSG00000105696	ENSP00000262817	ENST00000262817	TMEM59L	401
ENSG00000105697	ENSP00000222304	ENST00000222304	HAMP	85
ENSG00000105698	ENSP00000222305	ENST00000222305	USF2	246
ENSG00000105699	ENSP00000474797	ENST00000605618	LSR	726
ENSG00000105700	ENSP00000222307	ENST00000222307	KXD1	168
ENSG00000105701	ENSP00000476767	ENST00000608443	FKBP8	212
ENSG00000105705	ENSP00000247001	ENST00000247001	SUGP1	337
ENSG00000105707	ENSP00000500664	ENST00000672452	HPN	192
ENSG00000105708	ENSP00000340514	ENST00000344099	ZNF14	915
ENSG00000105711	ENSP00000262631	ENST00000262631	SCN1B	537
ENSG00000105717	ENSP00000251203	ENST00000251203	PBX4	106
ENSG00000105722	ENSP00000222329	ENST00000222329	ERF	313
ENSG00000105723	ENSP00000222330	ENST00000222330	GSK3A	505
ENSG00000105726	ENSP00000349877	ENST00000357324	ATP13A1	209
ENSG00000105732	ENSP00000351939	ENST00000359044	ZNF574	114
ENSG00000105737	ENSP00000262895	ENST00000262895	GRIK5	258
ENSG00000105738	ENSP00000222345	ENST00000222345	SIPA1L3	222
ENSG00000105750	ENSP00000329793	ENST00000328178	ZNF85	156
ENSG00000105755	ENSP00000292147	ENST00000292147	ETHE1	199
ENSG00000105767	ENSP00000222374	ENST00000222374	CADM4	183
ENSG00000105771	ENSP00000270066	ENST00000270066	SMG9	187
ENSG00000105778	ENSP00000315568	ENST00000318709	AVL9	209
ENSG00000105784	ENSP00000337732	ENST00000338056	RUNDC3B	200
ENSG00000105792	ENSP00000373948	ENST00000389297	CFAP69	192
ENSG00000105793	ENSP00000222511	ENST00000222511	GTPBP10	211
ENSG00000105808	ENSP00000262940	ENST00000262940	RASA4	149
ENSG00000105810	ENSP00000397087	ENST00000424848	CDK6	204
ENSG00000105819	ENSP00000249269	ENST00000249269	PMPCB	217
ENSG00000105821	ENSP00000368565	ENST00000379263	DNAJC2	234
ENSG00000105825	ENSP00000222543	ENST00000222543	TFPI2	199
ENSG00000105829	ENSP00000222547	ENST00000222547	BET1	83
ENSG00000105835	ENSP00000222553	ENST00000222553	NAMPT	482
ENSG00000105849	ENSP00000222567	ENST00000222567	POLR1F	184
ENSG00000105851	ENSP00000419260	ENST00000496166	PIK3CG	207
ENSG00000105852	ENSP00000265627	ENST00000265627	PON3	461
ENSG00000105854	ENSP00000222572	ENST00000222572	PON2	461
ENSG00000105855	ENSP00000222573	ENST00000222573	ITGB8	1102
ENSG00000105856	ENSP00000222574	ENST00000222574	HBP1	266
ENSG00000105865	ENSP00000265720	ENST00000265720	DUS4L	210
ENSG00000105866	ENSP00000222584	ENST00000222584	SP4	209
ENSG00000105875	ENSP00000346466	ENST00000354475	WDR91	203
ENSG00000105877	ENSP00000475939	ENST00000409508	DNAH11	185
ENSG00000105879	ENSP00000401277	ENST00000440859	CBLL1	243
ENSG00000105880	ENSP00000498116	ENST00000648378	DLX5	205
ENSG00000105887	ENSP00000376800	ENST00000393085	MTPN	192
ENSG00000105889	ENSP00000503251	ENST00000678116	STEAP1B	812
ENSG00000105894	ENSP00000341170	ENST00000348225	PTN	456
ENSG00000105926	ENSP00000222644	ENST00000222644	MPP6	192
ENSG00000105928	ENSP00000494186	ENST00000645220	GSDME	290
ENSG00000105929	ENSP00000308122	ENST00000310018	ATP6V0A4	986
ENSG00000105939	ENSP00000242351	ENST00000242351	ZC3HAV1	95
ENSG00000105948	ENSP00000419279	ENST00000464848	TTC26	227
ENSG00000105953	ENSP00000222673	ENST00000222673	OGDH	664
ENSG00000105954	ENSP00000222674	ENST00000222674	NPVF	160
ENSG00000105963	ENSP00000265846	ENST00000265846	ADAP1	334
ENSG00000105967	ENSP00000265440	ENST00000265440	TFEC	204
ENSG00000105968	ENSP00000308405	ENST00000308153	H2AZ2	579
ENSG00000105971	ENSP00000222693	ENST00000222693	CAV2	820
ENSG00000105974	ENSP00000339191	ENST00000341049	CAV1	820
ENSG00000105976	ENSP00000380860	ENST00000397752	MET	214
ENSG00000105982	ENSP00000315950	ENST00000317955	RNF32	180
ENSG00000105983	ENSP00000326604	ENST00000353442	LMBR1	419
ENSG00000105989	ENSP00000265441	ENST00000265441	WNT2	187
ENSG00000105991	ENSP00000494260	ENST00000643460	HOXA1	253
ENSG00000105993	ENSP00000262177	ENST00000262177	DNAJB6	234
ENSG00000105996	ENSP00000222718	ENST00000222718	HOXA2	96
ENSG00000105997	ENSP00000484411	ENST00000612286	HOXA3	221
ENSG00000106003	ENSP00000222725	ENST00000222725	LFNG	251
ENSG00000106004	ENSP00000222726	ENST00000222726	HOXA5	198
ENSG00000106006	ENSP00000222728	ENST00000222728	HOXA6	118
ENSG00000106009	ENSP00000339637	ENST00000340611	BRAT1	202
ENSG00000106012	ENSP00000385597	ENST00000402050	IQCE	139
ENSG00000106013	ENSP00000265224	ENST00000265224	ANKRD7	17
ENSG00000106018	ENSP00000262178	ENST00000262178	VIPR2	256
ENSG00000106025	ENSP00000222747	ENST00000222747	TSPAN12	202
ENSG00000106028	ENSP00000265304	ENST00000265304	SSBP1	227
ENSG00000106031	ENSP00000497112	ENST00000649031	HOXA13	89
ENSG00000106034	ENSP00000309772	ENST00000310396	CPED1	185
ENSG00000106038	ENSP00000419266	ENST00000496902	EVX1	196
ENSG00000106049	ENSP00000265395	ENST00000265395	HIBADH	231
ENSG00000106052	ENSP00000379612	ENST00000396319	TAX1BP1	746
ENSG00000106066	ENSP00000265394	ENST00000265394	CPVL	190
ENSG00000106069	ENSP00000222792	ENST00000222792	CHN2	1074
ENSG00000106070	ENSP00000385770	ENST00000401949	GRB10	277
ENSG00000106077	ENSP00000222800	ENST00000222800	ABHD11	209
ENSG00000106078	ENSP00000265136	ENST00000265136	COBL	482
ENSG00000106080	ENSP00000222803	ENST00000222803	FKBP14	251
ENSG00000106086	ENSP00000397947	ENST00000449726	PLEKHA8	212
ENSG00000106089	ENSP00000222812	ENST00000222812	STX1A	1100
ENSG00000106100	ENSP00000222823	ENST00000222823	NOD1	200
ENSG00000106105	ENSP00000373918	ENST00000389266	GARS1	422
ENSG00000106113	ENSP00000418722	ENST00000471646	CRHR2	204
ENSG00000106123	ENSP00000498670	ENST00000652003	EPHB6	125
ENSG00000106125	ENSP00000265299	ENST00000265299	MINDY4	185
ENSG00000106128	ENSP00000320180	ENST00000326139	GHRHR	193
ENSG00000106144	ENSP00000312664	ENST00000310447	CASP2	209
ENSG00000106153	ENSP00000378812	ENST00000395422	CHCHD2	317
ENSG00000106178	ENSP00000222902	ENST00000222902	CCL24	1220
ENSG00000106211	ENSP00000248553	ENST00000248553	HSPB1	350
ENSG00000106236	ENSP00000265634	ENST00000265634	NPTX2	821
ENSG00000106244	ENSP00000222968	ENST00000350498	PDAP1	272
ENSG00000106245	ENSP00000222969	ENST00000222969	BUD31	223
ENSG00000106246	ENSP00000292478	ENST00000292478	PTCD1	390
ENSG00000106258	ENSP00000222982	ENST00000222982	CYP3A5	787
ENSG00000106261	ENSP00000323148	ENST00000324306	ZKSCAN1	104
ENSG00000106263	ENSP00000354125	ENST00000360876	EIF3B	216
ENSG00000106266	ENSP00000222990	ENST00000222990	SNX8	216
ENSG00000106268	ENSP00000349148	ENST00000356714	NUDT1	197
ENSG00000106278	ENSP00000377047	ENST00000393386	PTPRZ1	294
ENSG00000106290	ENSP00000389575	ENST00000453269	TAF6	398
ENSG00000106299	ENSP00000223023	ENST00000223023	WASL	440
ENSG00000106302	ENSP00000223026	ENST00000223026	HYAL4	1387
ENSG00000106304	ENSP00000508393	ENST00000682466	SPAM1	1387
ENSG00000106305	ENSP00000223029	ENST00000223029	AIMP2	221
ENSG00000106327	ENSP00000223051	ENST00000223051	TFR2	1149
ENSG00000106328	ENSP00000265825	ENST00000265825	FSCN3	643
ENSG00000106330	ENSP00000377522	ENST00000393950	MOSPD3	89
ENSG00000106331	ENSP00000491782	ENST00000639438	PAX4	105
ENSG00000106333	ENSP00000223061	ENST00000223061	PCOLCE	245
ENSG00000106336	ENSP00000241071	ENST00000241071	FBXO24	114
ENSG00000106341	ENSP00000340125	ENST00000342032	PPP1R17	120
ENSG00000106344	ENSP00000223073	ENST00000223073	RBM28	198
ENSG00000106346	ENSP00000301962	ENST00000306177	USP42	276
ENSG00000106348	ENSP00000345096	ENST00000338791	IMPDH1	332
ENSG00000106351	ENSP00000300176	ENST00000300176	AGFG2	168
ENSG00000106355	ENSP00000410758	ENST00000450169	LSM5	276
ENSG00000106366	ENSP00000223095	ENST00000223095	SERPINE1	184
ENSG00000106367	ENSP00000336666	ENST00000337619	AP1S1	991
ENSG00000106384	ENSP00000223114	ENST00000223114	MOGAT3	1215
ENSG00000106392	ENSP00000389176	ENST00000436587	C1GALT1	151
ENSG00000106397	ENSP00000223127	ENST00000223127	PLOD3	1306
ENSG00000106399	ENSP00000223129	ENST00000223129	RPA3	204
ENSG00000106400	ENSP00000304593	ENST00000305105	ZNHIT1	183
ENSG00000106404	ENSP00000308870	ENST00000308344	CLDN15	221
ENSG00000106410	ENSP00000419457	ENST00000467773	NOBOX	143
ENSG00000106415	ENSP00000223145	ENST00000223145	GLCCI1	751
ENSG00000106436	ENSP00000223167	ENST00000223167	MYL10	129
ENSG00000106443	ENSP00000489535	ENST00000634607	PHF14	200
ENSG00000106459	ENSP00000376924	ENST00000393232	NRF1	214
ENSG00000106460	ENSP00000379902	ENST00000396668	TMEM106B	249
ENSG00000106462	ENSP00000320147	ENST00000320356	EZH2	227
ENSG00000106477	ENSP00000223208	ENST00000223208	CEP41	210
ENSG00000106479	ENSP00000223210	ENST00000223210	ZNF862	87
ENSG00000106483	ENSP00000410715	ENST00000436072	SFRP4	132
ENSG00000106484	ENSP00000223215	ENST00000223215	MEST	240
ENSG00000106511	ENSP00000262041	ENST00000262041	MEOX2	426
ENSG00000106524	ENSP00000303570	ENST00000306999	ANKMY2	242
ENSG00000106526	ENSP00000507618	ENST00000683684	ACTR3C	189
ENSG00000106536	ENSP00000430514	ENST00000518318	POU6F2	221
ENSG00000106537	ENSP00000262067	ENST00000262067	TSPAN13	259
ENSG00000106538	ENSP00000223271	ENST00000223271	RARRES2	103
ENSG00000106541	ENSP00000391490	ENST00000419304	AGR2	602
ENSG00000106546	ENSP00000242057	ENST00000242057	AHR	805
ENSG00000106554	ENSP00000262570	ENST00000262570	CHCHD3	477
